timepoints,x_1,x_5,x_2,x_3,x_4,x_6,x_vcc,x_vin
174092.562500,0.709615,1.500000,0.672376,8.222304,0.125584,10.000000,-0.006423,-0.002137
176140.562500,0.709617,1.500000,0.672377,8.257981,0.126778,10.000000,-0.006387,-0.002137
176652.562500,0.709617,1.500000,0.672377,8.266854,0.127076,10.000000,-0.006378,-0.002137
177676.562500,0.709618,1.500000,0.672377,8.284422,0.127672,10.000000,-0.006361,-0.002137
179724.562500,0.709619,1.500000,0.672377,8.318852,0.128861,10.000000,-0.006326,-0.002137
180236.562500,0.709620,1.500000,0.672377,8.327416,0.129158,10.000000,-0.006318,-0.002137
181260.562500,0.709620,1.500000,0.672377,8.344369,0.129752,10.000000,-0.006301,-0.002137
183308.562500,0.709622,1.500000,0.672378,8.377596,0.130937,10.000000,-0.006268,-0.002137
183820.562500,0.709622,1.500000,0.672378,8.385860,0.131233,10.000000,-0.006259,-0.002137
184844.562500,0.709623,1.500000,0.672378,8.402222,0.131825,10.000000,-0.006243,-0.002136
186892.562500,0.709624,1.500000,0.672378,8.434287,0.133006,10.000000,-0.006211,-0.002136
187404.562500,0.709625,1.500000,0.672378,8.442263,0.133301,10.000000,-0.006203,-0.002136
188428.562500,0.709625,1.500000,0.672379,8.458053,0.133891,10.000000,-0.006187,-0.002136
190476.562500,0.709627,1.500000,0.672379,8.488998,0.135067,10.000000,-0.006156,-0.002136
190988.562500,0.709627,1.500000,0.672379,8.496695,0.135361,10.000000,-0.006148,-0.002136
192012.562500,0.709628,1.500000,0.672379,8.511933,0.135949,10.000000,-0.006133,-0.002136
194060.562500,0.709629,1.500000,0.672379,8.541797,0.137121,10.000000,-0.006103,-0.002136
194572.562500,0.709630,1.500000,0.672380,8.549225,0.137414,10.000000,-0.006096,-0.002136
195596.562500,0.709630,1.500000,0.672380,8.563930,0.138000,10.000000,-0.006081,-0.002136
197644.562500,0.709632,1.500000,0.672380,8.592750,0.139168,10.000000,-0.006052,-0.002136
198156.562500,0.709632,1.500000,0.672380,8.599919,0.139460,10.000000,-0.006045,-0.002136
199180.562500,0.709633,1.500000,0.672380,8.614110,0.140043,10.000000,-0.006031,-0.002136
201228.562500,0.709634,1.500000,0.672381,8.641924,0.141207,10.000000,-0.006003,-0.002136
201740.562500,0.709634,1.500000,0.672381,8.648842,0.141498,10.000000,-0.005996,-0.002136
202764.562500,0.709635,1.500000,0.672381,8.662537,0.142079,10.000000,-0.005983,-0.002135
204812.562500,0.709637,1.500000,0.672381,8.689379,0.143239,10.000000,-0.005956,-0.002135
205324.562500,0.709637,1.500000,0.672381,8.696055,0.143529,10.000000,-0.005949,-0.002135
206348.562500,0.709638,1.500000,0.672381,8.709272,0.144108,10.000000,-0.005936,-0.002135
208396.562500,0.709639,1.500000,0.672382,8.735176,0.145264,10.000000,-0.005910,-0.002135
208908.562500,0.709639,1.500000,0.672382,8.741619,0.145553,10.000000,-0.005904,-0.002135
209932.562500,0.709640,1.500000,0.672382,8.754374,0.146130,10.000000,-0.005891,-0.002135
211980.562500,0.709641,1.500000,0.672382,8.779372,0.147282,10.000000,-0.005866,-0.002135
212492.562500,0.709642,1.500000,0.672382,8.785590,0.147569,10.000000,-0.005860,-0.002135
213516.562500,0.709642,1.500000,0.672382,8.797900,0.148144,10.000000,-0.005847,-0.002135
215564.562500,0.709644,1.500000,0.672383,8.822025,0.149292,10.000000,-0.005823,-0.002135
216076.562500,0.709644,1.500000,0.672383,8.828025,0.149579,10.000000,-0.005817,-0.002135
217100.562500,0.709645,1.500000,0.672383,8.839904,0.150152,10.000000,-0.005805,-0.002135
219148.562500,0.709646,1.500000,0.672383,8.863186,0.151295,10.000000,-0.005782,-0.002135
219660.562500,0.709647,1.500000,0.672383,8.868977,0.151581,10.000000,-0.005776,-0.002135
220684.562500,0.709647,1.500000,0.672384,8.880441,0.152152,10.000000,-0.005765,-0.002134
222732.562500,0.709649,1.500000,0.672384,8.902910,0.153291,10.000000,-0.005742,-0.002134
223244.562500,0.709649,1.500000,0.672384,8.908498,0.153576,10.000000,-0.005737,-0.002134
224268.562500,0.709650,1.500000,0.672384,8.919562,0.154145,10.000000,-0.005726,-0.002134
226316.562500,0.709651,1.500000,0.672384,8.941245,0.155280,10.000000,-0.005704,-0.002134
226828.562500,0.709651,1.500000,0.672384,8.946639,0.155564,10.000000,-0.005699,-0.002134
227852.562500,0.709652,1.500000,0.672385,8.957316,0.156131,10.000000,-0.005688,-0.002134
229900.562500,0.709653,1.500000,0.672385,8.978241,0.157262,10.000000,-0.005667,-0.002134
230412.562500,0.709654,1.500000,0.672385,8.983446,0.157545,10.000000,-0.005662,-0.002134
231436.562500,0.709655,1.500000,0.672385,8.993750,0.158109,10.000000,-0.005651,-0.002134
233484.562500,0.709656,1.500000,0.672386,9.013944,0.159237,10.000000,-0.005631,-0.002134
233996.562500,0.709656,1.500000,0.672386,9.018967,0.159518,10.000000,-0.005626,-0.002134
235020.562500,0.709657,1.500000,0.672386,9.028911,0.160081,10.000000,-0.005616,-0.002134
237068.562500,0.709658,1.500000,0.672386,9.048400,0.161204,10.000000,-0.005597,-0.002134
237580.562500,0.709659,1.500000,0.672386,9.053247,0.161485,10.000000,-0.005592,-0.002134
238604.562500,0.709659,1.500000,0.672386,9.062844,0.162046,10.000000,-0.005582,-0.002134
240652.562500,0.709661,1.500000,0.672387,9.081652,0.163165,10.000000,-0.005564,-0.002133
241164.562500,0.709661,1.500000,0.672387,9.086330,0.163445,10.000000,-0.005559,-0.002133
242188.562500,0.709662,1.500000,0.672387,9.095591,0.164003,10.000000,-0.005550,-0.002133
244236.562500,0.709663,1.500000,0.672387,9.113741,0.165119,10.000000,-0.005531,-0.002133
244748.562500,0.709663,1.500000,0.672387,9.118256,0.165397,10.000000,-0.005527,-0.002133
245772.562500,0.709664,1.500000,0.672387,9.127193,0.165954,10.000000,-0.005518,-0.002133
247820.562500,0.709665,1.500000,0.672388,9.144710,0.167065,10.000000,-0.005500,-0.002133
248332.562500,0.709666,1.500000,0.672388,9.149067,0.167343,10.000000,-0.005496,-0.002133
249356.562500,0.709666,1.500000,0.672388,9.157692,0.167898,10.000000,-0.005487,-0.002133
251404.562500,0.709668,1.500000,0.672388,9.174596,0.169005,10.000000,-0.005471,-0.002133
251916.562500,0.709668,1.500000,0.672388,9.178801,0.169282,10.000000,-0.005466,-0.002133
252940.562500,0.709669,1.500000,0.672388,9.187124,0.169834,10.000000,-0.005458,-0.002133
254988.562500,0.709670,1.500000,0.672389,9.203438,0.170938,10.000000,-0.005442,-0.002133
255500.562500,0.709670,1.500000,0.672389,9.207496,0.171213,10.000000,-0.005438,-0.002133
256524.562500,0.709671,1.500000,0.672389,9.215529,0.171764,10.000000,-0.005430,-0.002133
258572.562500,0.709672,1.500000,0.672389,9.231272,0.172864,10.000000,-0.005414,-0.002132
259084.562500,0.709673,1.500000,0.672389,9.235188,0.173138,10.000000,-0.005410,-0.002132
260108.562500,0.709673,1.500000,0.672389,9.242940,0.173687,10.000000,-0.005402,-0.002132
262156.562500,0.709675,1.500000,0.672390,9.258134,0.174783,10.000000,-0.005387,-0.002132
262668.562500,0.709675,1.500000,0.672390,9.261913,0.175056,10.000000,-0.005383,-0.002132
263692.562500,0.709676,1.500000,0.672390,9.269394,0.175603,10.000000,-0.005376,-0.002132
265740.562500,0.709677,1.500000,0.672390,9.284057,0.176695,10.000000,-0.005361,-0.002132
